題目,正確答案
She ___ (cut) the cake into slices yesterday.,cut
The tickets ___ (cost) more than I expected last week.,cost
He ___ (hit) the ball out of the park in the game.,hit
His words really ___ (hurt) her feelings.,hurt
Please ___ (let) me know your decision yesterday.,let
I ___ (read) that novel last summer.,read
They ___ (rid) the town of pests last year.,rid
She ___ (set) the table for dinner an hour ago.,set
He ___ (shut) the door quietly when he left.,shut
The news ___ (spread) quickly through the village.,spread
This dress ___ (fit) me perfectly when I tried it on.,fit
The radio station ___ (broadcast) the news at 6 p.m. yesterday.,broadcast
I ___ (put) the keys on the counter when I came in.,put
He ___ (quit) his job last month.,quit
The bad news ___ (upset) everyone in the family.,upset
The balloon ___ (burst) suddenly.,burst
The fisherman ___ (cast) his net into the sea.,cast
I ___ (bet) you $10 that he would win.,bet
She ___ (bid) $500 for the painting at the auction.,bid
The snake ___ (shed) its skin last week.,shed
He ___ (slit) the envelope open with a knife.,slit
The group ___ (split) into two factions after the debate.,split
He ___ (become) a successful entrepreneur after years of effort.,became
They ___ (come) to visit us last weekend.,came
She ___ (run) a marathon for the first time last year.,ran
We finally ___ (overcome) all the obstacles.,overcame
"He ___ (say) he would come, but he didn't.",said
She ___ (pay) the bill before leaving the restaurant.,paid
They ___ (sell) their old car last week.,sold
He ___ (tell) me a funny story yesterday.,told
The wound ___ (bleed) heavily for hours.,bled
The police ___ (catch) the thief red-handed.,caught
My grandfather ___ (teach) me how to fish when I was young.,taught
She ___ (buy) a new dress for the party.,bought
The detective ___ (seek) clues everywhere but found none.,sought
He ___ (bring) flowers to his girlfriend on her birthday.,brought
I ___ (think) you were coming later.,thought
The soldiers ___ (fight) bravely in the battle.,fought
We ___ (have) a wonderful time at the beach yesterday.,had
I ___ (hear) a strange noise outside last night.,heard
She ___ (make) a delicious cake for the party.,made
They ___ (build) a new house in the countryside.,built
He ___ (lend) me $20 yesterday.,lent
She ___ (send) me an email this morning.,sent
We ___ (spend) our vacation in Hawaii last summer.,spent
He ___ (lose) his keys on the way home.,lost
The room ___ (smell) of smoke when we entered.,smelt
She ___ (smell) the roses in the garden.,smelled
I ___ (get) a present for my birthday.,got
They ___ (sit) in the park and talked for hours.,sat
Our team ___ (win) the championship last year.,won
Lightning ___ (strike) the old oak tree during the storm.,struck
The label ___ (stick) to the box firmly.,stuck
The dog ___ (dig) a hole in the garden.,dug
They ___ (hang) the criminal at dawn.,hanged
She ___ (hang) her coat in the closet.,hung
The meeting ___ (hold) in the conference room yesterday.,held
I ___ (meet) an old friend at the supermarket.,met
She ___ (feed) the baby before putting him to bed.,fed
The guide ___ (lead) us through the forest.,led
The hunter ___ (shoot) a deer.,shot
The sun ___ (shine) brightly all day.,shone
He ___ (shine) his shoes until they gleamed.,shined
I ___ (feel) a sharp pain in my back.,felt
She ___ (keep) her promise to visit me.,kept
The baby ___ (sleep) peacefully through the night.,slept
He ___ (leave) the office early yesterday.,left
She ___ (sweep) the floor clean.,swept
We ___ (stand) in line for hours waiting for tickets.,stood
I finally ___ (understand) the math problem.,understood
She ___ (spell) the difficult word correctly.,spelt
She ___ (spell) her name for the receptionist.,spelled
I ___ (learn) to play the piano last year.,learnt
I ___ (learn) to play the piano last year.,learned
She ___ (find) a wallet on the street.,found
"He ___ (mean) to apologize, but he forgot.",meant
He ___ (bend) down to pick up the coin.,bent
The toast was accidentally ___ (burn).,burnt
The letter ___ (burn) quickly in the fire.,burned
She ___ (dream) of her childhood home.,dreamt
He ___ (dream) about a white Christmas.,dreamed
She ___ (lay) the baby gently in the crib.,laid
He ___ (light) a match to see better.,lit
The lamplighter ___ (light) the street lamps.,lighted
The coin ___ (slide) across the floor.,slid
The child ___ (weep) when he lost his toy.,wept
She ___ (grind) the coffee beans fresh every morning.,ground
He ___ (wind) the clock before going to bed.,wound
The gate ___ (swing) open in the wind.,swung
The child ___ (cling) to his mother's hand.,clung
He ___ (fling) his jacket onto the chair.,flung
She ___ (sling) her bag over her shoulder.,slung
The concert ___ (begin) at eight o'clock.,began
He ___ (drink) three cups of coffee this morning.,drank
The phone ___ (ring) several times but no one answered.,rang
She ___ (sing) a beautiful song at the talent show.,sang
The ship ___ (sink) after hitting an iceberg.,sank
We ___ (swim) in the lake yesterday.,swam
The jeans ___ (shrink) after washing.,shrank
He ___ (tread) carefully through the mud.,trod
She ___ (tear) the letter into pieces.,tore
He ___ (wear) a black suit to the funeral.,wore
The witness ___ (swear) to tell the truth.,swore
The wind ___ (blow) the leaves across the yard.,blew
The artist ___ (draw) a beautiful portrait.,drew
The bird ___ (fly) south for the winter.,flew
The tree ___ (grow) rapidly after the rain.,grew
I ___ (know) the answer immediately.,knew
He ___ (throw) the ball to his dog.,threw
She ___ (withdraw) money from the ATM.,withdrew
He ___ (break) his leg while skiing.,broke
She ___ (choose) the blue dress for the party.,chose
We ___ (eat) dinner at a nice restaurant.,ate
The leaves ___ (fall) from the trees in autumn.,fell
I ___ (give) her a gift for her birthday.,gave
The sun ___ (rise) at 6 a.m. yesterday.,rose
I ___ (see) a shooting star last night.,saw
She ___ (shake) the bottle before opening it.,shook
He ___ (speak) to the manager about the issue.,spoke
Someone ___ (steal) my wallet on the bus.,stole
The dog ___ (bite) the mailman.,bit
She ___ (drive) to work this morning.,drove
The children ___ (hide) behind the curtains.,hid
He ___ (ride) his bike to school.,rode
She ___ (take) the last piece of cake.,took
The water ___ (freeze) overnight.,froze
I ___ (be) late for the meeting yesterday.,was
They ___ (be) at the cinema last night.,were
He ___ (do) his homework before dinner.,did
She ___ (go) to the market this morning.,went
She ___ (sew) a button back on my shirt.,sewed
He ___ (show) me his new car yesterday.,showed
The cat ___ (lie) on the sofa all afternoon.,lay
He ___ (lie) about his qualifications.,lied
Our team ___ (beat) the opponents 3-0.,beat
The law ___ (forbid) smoking in restaurants.,forbade
A problem ___ (arise) during the meeting.,arose
He ___ (forsake) his old friends after becoming famous.,forsook
She ___ (stride) confidently into the room.,strode
She ___ (strive) to become a better person.,strove
The wire has been ___ (cut).,cut
How much has the repair ___ (cost)?,cost
The target has been ___ (hit) three times.,hit
She has never been ___ (hurt) like that before.,hurt
We have been ___ (let) down by the system.,let
I've already ___ (read) that article.,read
She is finally ___ (rid) of her old car.,rid
The foundation has been ___ (set).,set
All the windows have been ___ (shut).,shut
The butter has been ___ (spread) too thinly.,spread
All the pieces have been carefully ___ (fit) together.,fit
The message has been ___ (broadcast) worldwide.,broadcast
Everything has been ___ (put) in the correct box.,put
She has ___ (quit) the tennis team.,quit
I have never been so ___ (upset) in my life.,upset
Several pipes have ___ (burst) due to the cold.,burst
The statue was ___ (cast) in bronze.,cast
All his money has been ___ (bet) on that horse.,bet
The highest price has been ___ (bid) at the auction.,bid
Blood has been ___ (shed) in the conflict.,shed
The envelope has been ___ (slit) open.,slit
The atom has been ___ (split).,split
They have ___ (become) very good friends.,become
Has he ___ (come) home yet?,come
The machine has ___ (run) for hours.,run
All obstacles have been ___ (overcome).,overcome
That has been ___ (say) many times before.,said
The workers haven't been ___ (pay) yet.,paid
All the tickets have been ___ (sell).,sold
I have been ___ (tell) to wait here.,told
She has ___ (bleed) so much she feels weak.,bled
The thief has been ___ (catch).,caught
We have been well ___ (teach).,taught
The groceries have been ___ (buy).,bought
Peace has been ___ (seek) for centuries.,sought
The case has been ___ (bring) to court.,brought
This plan was well ___ (think) out.,thought
They have ___ (fight) for their rights.,fought
I have ___ (have) enough of this noise.,had
The news has been ___ (hear) by everyone.,heard
This watch was ___ (make) in Switzerland.,made
The stadium is finally ___ (build).,built
The money was ___ (lend) on condition.,lent
Has the letter been ___ (send)?,sent
All the money has been ___ (spend).,spent
The game has been ___ (lose).,lost
The air has ___ (smell) of rain all day.,smelt
The soup has ___ (smell) delicious.,smelled
He has ___ (get) the message.,got
She has ___ (sit) in the front row before.,sat
They have ___ (win) two games in a row.,won
The hour has ___ (strike).,struck
The tape is firmly ___ (stick) to the wall.,stuck
The foundations have been ___ (dig).,dug
The traitor was ___ (hang) for treason.,hanged
The picture is ___ (hang) too high.,hung
The meeting was ___ (hold) yesterday.,held
We have never ___ (meet) before.,met
The children have been ___ (feed) already.,fed
He has ___ (lead) the company for years.,led
The picture was ___ (shoot) at sunset.,shot
The silver has ___ (shine) brightly.,shone
The floor has been ___ (shine) to a high polish.,shined
I have ___ (feel) much better lately.,felt
The secret has been ___ (keep) safe.,kept
I haven't ___ (sleep) well for days.,slept
Has he ___ (leave) a message?,left
The dust has been ___ (sweep) away.,swept
The statue has ___ (stand) here for centuries.,stood
The message was perfectly ___ (understand).,understood
The word has been ___ (spell) incorrectly.,spelt
The word has been ___ (spell) incorrectly.,spelled
She has ___ (learn) a lot from her travels.,learnt
She has ___ (learn) a lot from her travels.,learned
The treasure was ___ (find) buried deep.,found
The gesture was ___ (mean) as a kindness.,meant
The wire has been slightly ___ (bend).,bent
The evidence was ___ (burn) to ashes.,burnt
The forest was ___ (burn) in the blaze.,burned
I have ___ (dream) the same dream twice.,dreamt
We have ___ (dream) of this moment.,dreamed
The trap was ___ (lay) last night.,laid
The room was ___ (light) by a single lamp.,lit
The path has been brightly ___ (light).,lighted
The door has ___ (slide) open.,slid
She has ___ (weep) for days.,wept
The wheat has been ___ (grind) into flour.,ground
The string has been ___ (wind) tightly.,wound
The gate has ___ (swing) open.,swung
The old traditions have ___ (cling) on.,clung
The papers were ___ (fling) across the desk.,flung
The hammock was ___ (sling) between two trees.,slung
The project has already ___ (begin).,begun
He has ___ (drink) too much coffee.,drunk
The alarm has not ___ (ring) yet.,rung
This song has been ___ (sing) by many artists.,sung
The anchor has ___ (sink) to the seabed.,sunk
She has ___ (swim) competitively.,swum
The jeans have ___ (shrink) after washing.,shrunk
The grass had been ___ (tread) down.,trodden
She has ___ (bear) the pain bravely.,borne
The child was ___ (bear) in winter.,born
The flag was ___ (tear) by the wind.,torn
This coat is old and badly ___ (wear).,worn
The witness is under ___ (swear) testimony.,sworn
The leaves have been ___ (blow) away.,blown
The curtain has been ___ (draw) closed.,drawn
He has ___ (fly) around the world.,flown
The seeds have ___ (grow) into saplings.,grown
This fact is widely ___ (know).,known
The spear was ___ (throw) far.,thrown
The troops have been ___ (withdraw) from the area.,withdrawn
The vase is completely ___ (break).,broken
The winner has been ___ (choose).,chosen
Have you ___ (eat) all your vegetables?,eaten
The temperature has ___ (fall) rapidly.,fallen
The award was ___ (give) to the best student.,given
The sea level has ___ (rise).,risen
I have never ___ (see) a whale before.,seen
The foundations have been ___ (shake).,shaken
He has ___ (speak) on this topic before.,spoken
The jewels were ___ (steal) from the museum.,stolen
I was ___ (bite) by mosquitoes.,bitten
We have ___ (drive) this route many times.,driven
The money was ___ (hide) in a vault.,hidden
She has ___ (ride) that roller coaster before.,ridden
The photograph was ___ (take) professionally.,taken
The pipes have ___ (freeze) due to the cold.,frozen
He has ___ (be) here all day.,been
They have ___ (be) working hard.,been
The work is completely ___ (do).,done
He has ___ (go) home already.,gone
The dress was ___ (sew) by hand.,sewn
The movie was ___ (show) at the festival.,shown
The documents have ___ (lie) on the desk for days.,lain
She has ___ (lie) to protect her friend.,lied
The opponent has been ___ (beat) fair and square.,beaten
Smoking is strictly ___ (forbid) here.,forbidden
Several complications have ___ (arise).,arisen
The abandoned house looked ___ (forsake).,forsaken
He has ___ (stride) this path many times.,stridden
They have ___ (strive) for success.,striven
The manager ___ (deal) with the complaint professionally.,dealt
The cat ___ (spring) onto the table.,sprang
He ___ (dive) into the pool from the high board.,dove
The carpenter ___ (saw) the board in half.,sawed
The workers ___ (hew) the stone with great skill.,hewed
She ___ (strew) rose petals along the aisle.,strewed
The river ___ (swell) after the heavy rain.,swelled
He ___ (mow) the lawn yesterday afternoon.,mowed
The scientist ___ (prove) his theory with clear evidence.,proved
The matter has been ___ (deal) with appropriately.,dealt
A new idea has ___ (spring) to mind.,sprung
She has ___ (dive) in this cave many times.,dived
The log has been ___ (saw) in half.,sawn
The statue was ___ (hew) from a single block of marble.,hewn
The floor was ___ (strew) with confetti.,strewn
Her ankle has ___ (swell) badly after the fall.,swollen
The grass has been freshly ___ (mow).,mown