word,pos,meaning,english,chinese
abstract,adj.,抽象的,"""Love"" is an abstract concept.",「愛」是一個抽象的概念。
abstract,n.,(論文) 摘要,Please read the abstract of this paper.,請閱讀這篇論文的摘要。
abstract,v.,提取/萃取,Metals are abstracted from ores.,金屬是從礦石中提取的。
account,n.,帳戶,I opened a bank account.,我開了一個銀行帳戶。
account,n.,描述/報導,She gave a detailed account of the trip.,她詳細描述了這次旅行。
account,v.,解釋 (常用 account for),How do you account for the success?,你如何解釋這次成功？
address,n.,地址,Please write your address here.,請在這裡寫下你的地址。
address,v.,處理/演說,The president addressed the nation.,總統向全國發表演說。
address,v.,稱呼,How should I address you?,我該怎麼稱呼您？
appreciate,v.,感激,I highly appreciate your help.,我非常感激你的幫助。
appreciate,v.,欣賞/理解,You should learn to appreciate art.,你應該學習欣賞藝術。
appreciate,v.,增值/升值,The house has appreciated in value.,房子已經升值了。
approach,n.,方法/途徑,This is a different approach.,這是一個不同的方法。
approach,v.,接近,The final exam is approaching.,期末考正在接近。
approach,v.,處理,We need a new way to approach this problem.,我們需要新的方法來處理這個問題。
appropriate,adj.,適當的,Is this dress appropriate for a wedding?,這件衣服適合穿去婚禮嗎？
appropriate,v.,撥款/挪用,The government appropriated funds for the school.,政府撥款給這所學校。
arm,n.,手臂,He broke his arm.,他摔斷了手臂。
arm,n.,分支（組織）,the political arm of the group,該組織的政治分支。
arm,v.,武裝,The soldiers were armed with guns.,士兵們用槍武裝自己。
article,n.,文章/報導,I read an article about climate change.,我讀了一篇關於氣候變遷的文章。
article,n.,物品/物件,Several articles of clothing were found.,發現了幾件衣服。
article,n.,冠詞 (語法),The' is a definite article.,The' 是定冠詞。
back,adj.,後面的,the back door,後門。
back,adv.,向後,Please step back.,請向後退。
back,n.,背部,My back hurts.,我背痛。
back,v.,支持,I back your decision.,我支持你的決定。
balance,n.,平衡,He lost his balance and fell.,他失去平衡跌倒了。
balance,n.,餘額 (銀行),What is your bank balance?,你的銀行餘額是多少？
balance,v.,使平衡,You need to balance work and life.,你需要平衡工作與生活。
bank,n.,銀行,I need to go to the bank.,我需要去銀行。
bank,n.,河岸,We sat on the river bank.,我們坐在河岸上。
bank,v.,存錢,She banks half her salary.,她把一半薪水存進銀行。
bar,n.,酒吧,Let's go to a bar.,我們去酒吧吧。
bar,n.,長條,a bar of chocolate,一條巧克力
bar,n.,律師行業,She passed the bar exam.,她通過了律師考試。
bar,v.,禁止,He was barred from the competition.,他被禁止參賽。
bar,v.,阻擋,A wall bars the way.,一堵牆擋住了路。
bark,n.,樹皮,The tree has rough bark.,這棵樹的樹皮很粗糙。
bark,n.,狗叫聲,The bark woke me up.,狗叫聲把我吵醒了。
bark,v.,吠叫,The dog barks loudly.,那隻狗大聲吠叫。
bark,v.,厲聲說話,He barked orders at his staff.,他厲聲對下屬發號施令。
bat,n.,蝙蝠,Bats come out at night.,蝙蝠在夜間出沒。
bat,n.,球棒,He swung the baseball bat.,他揮動棒球棒。
bat,v.,擊球,He batted the ball.,他擊中了球。
bat,v.,眨眼（bat an eye）,She didn't bat an eye.,她連眼睛都沒眨一下。
bear,n.,熊,A bear appeared in the forest.,森林裡出現了一隻熊。
bear,v.,忍受,I can't bear the pain.,我無法忍受疼痛。
bear,v.,生育,She bore three children.,她生了三個孩子。
bear,v.,攜帶/具有,He bears a resemblance to his father.,他長得像他父親。
bench,n.,長凳,We sat on a park bench.,我們坐在公園長凳上。
bench,n.,法官席/法院,He was appointed to the bench.,他被任命為法官。
bench,n.,替補席 (體育),The star player started on the bench.,這位明星球員從替補席出發。
betray,v.,背叛,He betrayed his country.,他背叛了他的國家。
betray,v.,洩露,His eyes betrayed his fear.,他的眼神洩露了他的恐懼。
betray,v.,顯露,Her accent betrays her origin.,她的口音顯露出她的來歷。
bill,n.,帳單,The electricity bill is due.,電費帳單到期了。
bill,n.,法案,Parliament passed the bill.,議會通過了該法案。
bill,n.,鳥嘴（喙）,The bird has a long bill.,這隻鳥有長長的喙。
bill,v.,開帳單,We will bill you later.,我們之後會開帳單給您。
block,n.,街區,Walk two blocks and turn left.,走兩個街區後左轉。
block,n.,塊狀物/積木,A block of ice.,一塊冰。
block,n.,(心理或生理的) 障礙,I have a writer's block.,我遇到了寫作瓶頸（文思枯竭）。
block,v.,阻擋/封鎖,The fallen tree blocked the road.,倒下的樹阻斷了道路。
board,n.,木板,He cut the wood on a board.,他在木板上切木頭。
board,n.,委員會,the board of directors,董事會。
board,n.,膳食（食宿）,Room and board costs $500.,食宿費用500美元。
board,v.,上（船/火車/飛機）,We boarded the plane.,我們登上了飛機。
board,v.,用木板覆蓋,The windows were boarded up.,窗戶用木板封住了。
book,n.,書,I read a good book.,我讀了一本好書。
book,v.,預訂,You should book a table.,你應該預訂一張桌子。
bound,adj.,被束縛的,He is bound by a promise.,他被承諾束縛。
bound,adj.,一定會的,It is bound to happen.,這一定會發生。
bound,n.,界限（常用複數）,This is beyond the bounds of reason.,這超出了理性的界限。
bound,v.,跳躍,The dog bounded across the field.,狗跳躍過田野。
bow,n.,弓（武器）,He shot an arrow with a bow.,他用弓射箭。
bow,n.,鞠躬,He gave a deep bow.,他深深鞠了一躬。
bow,n.,蝴蝶結,She tied a bow on the gift.,她在禮物上打了個蝴蝶結。
bow,n.,船頭,the bow of the ship,船頭。
bow,v.,鞠躬,She bowed to the audience.,她向觀眾鞠躬。
bow,v.,彎曲,The branch bowed under the weight.,樹枝被重量壓彎了。
box,n.,盒子,He opened the box.,他打開了盒子。
box,n.,方框,Tick the box.,勾選方框。
box,v.,拳擊,He boxes professionally.,他職業打拳擊。
box,v.,把…裝入盒中,She boxed the gifts.,她把禮物裝進盒子裡。
bridge,n.,橋,They crossed the bridge.,他們過了橋。
bridge,n.,船橋/艦橋,the bridge of a ship,船的駕駛台。
bridge,n.,鼻樑,His glasses sit on the bridge of his nose.,他的眼鏡架在鼻樑上。
bridge,n.,橋牌（紙牌遊戲）,They play bridge every Friday.,他們每週五打橋牌。
bridge,v.,彌合/架橋,We need to bridge the gap.,我們需要彌合差距。
brief,adj.,簡短的,"Please be brief, we are in a hurry.",請簡短一點，我們趕時間。
brief,n.,概要/訴狀,He read the legal brief.,他閱讀了法律訴狀。
brief,v.,向...簡報,The general briefed the president.,將軍向總統進行了簡報。
button,n.,鈕扣,He buttoned his shirt.,他扣上了襯衫的扣子。
button,n.,按鈕,Press the start button.,按下啟動按鈕。
button,v.,扣上,Button your coat.,扣上你的外套。
button,v.,用按鈕操作,He buttoned through the menu.,他用按鈕操作選單。
calf,n.,小牛,The calf stayed close to its mother.,小牛緊跟在母牛身邊。
calf,n.,小腿,He injured his calf muscle.,他拉傷了小腿肌肉。
capacity,n.,容量/生產力,"The stadium has a capacity of 50,000.",這個體育場可容納 5 萬人。
capacity,n.,能力/職位,He is acting in a legal capacity.,他正以法律顧問的身分行事。
capital,adj.,大寫的,Write your name in capital letters.,用大寫字母寫你的名字。
capital,n.,首都,Tokyo is the capital of Japan.,東京是日本的首都。
capital,n.,資本/資金,He needs capital to start a business.,他需要資金創業。
case,n.,案例/案件,This is a special case.,這是一個特殊案例。
case,n.,箱子/套子,Put the phone in its case.,把手機放進殼裡。
case,n.,情況 (in case),"In case of fire, use stairs.",萬一發生火災，請走樓梯。
channel,n.,頻道/海峽,Switch to the news channel.,轉到新聞頻道。
channel,n.,途徑/管道,Complaints should go through proper channels.,投訴應透過適當管道。
channel,n.,頻道/海峽,Switch to the news channel.,轉到新聞頻道。
channel,n.,管道/途徑,Complaints should go through proper channels.,投訴應透過適當管道。
channel,v.,引導/集中,She channeled her energy into her work.,她將精力集中在工作上。
channel,v.,引導/集中 (精力、金錢),She channeled all her energy into her career.,她將所有精力都投入到事業中。
character,n.,性格/品質,He has a strong character.,他性格堅強。
character,n.,角色,Who is your favorite character in the movie?,你最喜歡電影裡的哪個角色？
character,n.,文字/字符,Chinese characters are hard to learn.,漢字很難學。
charge,n.,費用,There's no extra charge.,沒有額外費用。
charge,n.,指控,He faced a murder charge.,他面臨謀殺指控。
charge,n.,負責人,She is in charge.,她負責。
charge,v.,收費,They charge $10 for entry.,他們收費10美元入場。
charge,v.,充電,Charge your phone.,幫手機充電。
check,n.,支票,He paid the bill by check.,他用支票支付帳單。
check,n.,帳單 (美式),"Could we have the check, please?",麻煩請給我們帳單好嗎？
check,v.,檢查,Check your work before submitting it.,提交前檢查你的工作。
chest,n.,胸部,He has a broad chest.,他有寬闊的胸膛。
chest,n.,箱子/櫃子,a treasure chest,一個寶藏箱。
club,n.,俱樂部/社團,Join the school's chess club.,加入學校的西洋棋社團。
club,n.,棍棒,The caveman carried a large club.,穴居人拿著一根大棍棒。
club,n.,梅花 (撲克牌),I have the ace of clubs.,我有一張梅花 A。
coach,n.,教練,The coach gave the team a pep talk.,教練給球隊做了鼓舞士氣的講話。
coach,n.,長途巴士/車廂,We traveled across Europe by coach.,我們搭乘長途巴士穿越歐洲。
coach,v.,輔導/訓練,She coaches students for the TOEFL.,她輔導學生考托福。
coat,n.,外套/大衣,"Put on your coat, it's cold.",穿上外套，天氣冷。
coat,n.,(動物) 皮毛,The dog has a thick winter coat.,這隻狗有厚實的冬毛。
coat,n.,(油漆等) 一層,The wall needs another coat of paint.,這面牆需要再刷一層漆。
coat,v.,覆蓋/塗上一層,Coat the fish with flour before frying.,油炸前在魚上裹一層麵粉。
commit,v.,犯（罪）,He committed a crime.,他犯了罪。
commit,v.,承諾,She committed herself to the cause.,她對這項事業作出承諾。
commit,v.,撥出,Commit resources to the project.,將資源撥給這個專案。
company,n.,公司,He started his own software company.,他創立了自己的軟體公司。
company,n.,陪伴/同伴,I enjoy your company.,我喜歡你的陪伴。
company,n.,客人 (不可數),We are expecting company for dinner.,我們正等著客人來吃晚餐。
compound,adj.,複合的,compound interest,複利
compound,n.,化合物,Water is a compound.,水是一種化合物。
compound,n.,複合體,The word is a compound of two parts.,這個詞由兩部分複合而成。
compound,v.,加劇,His mistake compounded the problem.,他的錯誤加劇了問題。
compromise,v.,損害/危及,Don't compromise your principles.,不要違背你的原則（使原則受損）。
compromise,v./n.,妥協/讓步,We should reach a compromise.,我們應該達成妥協。
conduct,n.,行為,His conduct was unacceptable.,他的行為不可接受。
conduct,v.,進行,They conducted an experiment.,他們進行了一項實驗。
conduct,v.,指揮（音樂）,He conducted the orchestra.,他指揮了管弦樂團。
conduct,v.,引導,The guide conducted us through the museum.,導遊帶我們參觀博物館。
content,adj.,滿足的,She is content with her life.,她對自己的生活感到滿足。
content,n.,內容（常複數）,The content of the book is interesting.,這本書的內容很有趣。
content,n.,容量（液體）,water content,含水量。
contract,n.,合約,Sign the contract.,簽署合約。
contract,v.,收縮,Metal contracts when cooled.,金屬遇冷收縮。
contract,v.,感染,He contracted a rare disease.,他感染了一種罕見疾病。
court,n.,法院,The court found him guilty.,法院判他有罪。
court,n.,球場,They played on the basketball court.,他們在籃球場打球。
court,v.,追求/招致,He courted controversy.,他刻意招致爭議。
cricket,n.,蟋蟀,The cricket chirped at night.,蟋蟀在夜裡鳴叫。
cricket,n.,板球運動,They play cricket in England.,他們在英國打板球。
critical,adj.,批評的,She is very critical of the plan.,她對這項計劃非常挑剔。
critical,adj.,至關重要的,This is a critical moment for us.,這對我們來說是個關鍵時刻。
critical,adj.,評論性的/嚴謹的,We need to develop critical thinking.,我們需要培養批判性思維。
culture,n.,文化,I love learning about different cultures.,我喜歡學習不同的文化。
culture,n.,(細菌) 培養,The lab is testing a throat culture.,實驗室正在進行喉部細菌培養。
current,adj.,現行的/目前的,What is your current address?,你目前的地址在哪裡？
current,n.,水流/氣流/電流,The ocean current is very strong.,洋流非常強勁。
custom,adj.,訂製的,He wears custom suits.,他穿著訂製的西裝。
custom,n.,習俗/慣例,It's a local custom to wear white.,穿白色是當地的習俗。
custom,n.,海關 (常用複數),You have to go through customs.,你必須過海關。
date,n.,日期,What's the date today?,今天幾號？
date,n.,約會,I have a date tonight.,我今晚有個約會。
date,n.,椰棗,Dates are sweet.,椰棗很甜。
date,v.,約會,They have been dating for a year.,他們交往一年了。
deal,n.,交易/協議,We made a deal to share the profits.,我們達成協議分享利潤。
deal,n.,數量 (a great deal),A great deal of time was wasted.,浪費了大量的時間。
deal,v.,處理,I don't know how to deal with this.,我不知道該如何處理這件事。
degree,n.,度數/程度,The temperature dropped by 10 degrees.,溫度下降了 10 度。
degree,n.,學位,She has a master's degree in physics.,她擁有物理學碩士學位。
deposit,n.,存款,I made a large deposit.,我存了一大筆錢。
deposit,n.,訂金,Leave a deposit to secure the room.,付訂金保留房間。
deposit,n.,沉積物,A layer of sand deposit.,一層沙子沉積物。
deposit,v.,存放,Deposit the money in the bank.,把錢存入銀行。
desert,n.,沙漠,The Sahara is a vast desert.,撒哈拉是一片廣闊的沙漠。
desert,v.,拋棄,He deserted his family.,他拋棄了他的家人。
desert,v.,擅離（職守）,He deserted the army.,他逃離了軍隊。
diamond,n.,鑽石,She wore a diamond ring.,她戴著鑽石戒指。
diamond,n.,方塊 (撲克牌),I have the king of diamonds.,我有一張方塊 K。
diamond,n.,棒球場/菱形,The players are on the diamond.,球員們正在棒球場上。
discriminate,v.,區別,He cannot discriminate colors.,他無法分辨顏色。
discriminate,v.,歧視,It is illegal to discriminate based on race.,種族歧視是違法的。
draft,n.,草稿,The first draft of the essay.,文章的第一版草稿。
draft,n.,徵兵,He was called up in the draft.,他被徵兵了。
draft,v.,起草,Draft a contract.,起草合約。
draft,v.,徵召,He was drafted into the army.,他被徵召入伍。
draw,n.,平局,The game ended in a draw.,比賽以平局結束。
draw,v.,畫,She drew a picture.,她畫了一幅畫。
draw,v.,拉動,Draw the curtain.,拉上窗簾。
draw,v.,吸引,The event drew a large crowd.,這活動吸引了很多人。
draw,v.,得出（結論）,draw a conclusion,得出結論。
drink,n.,飲料,May I offer you a cold drink?,我可以給你一杯冷飲嗎？
drink,n.,酒/酒精飲料,Let's go out for a drink.,我們去喝一杯（酒）吧。
drink,v.,喝 (液體),Drink plenty of water every day.,每天喝充足的水。
drink,v.,喝酒,He doesn't drink when he drives.,他開車時不喝酒。
drink,v.,舉杯祝酒,Let us drink to the bride and groom.,讓我們為新娘新郎乾杯。
duck,n.,鴨子,The duck swam across the pond.,鴨子游過池塘。
duck,n.,零分（板球）,He was out for a duck.,他得了零分出局。
duck,v.,迅速低頭躲閃,He ducked to avoid the ball.,他迅速低頭躲開球。
duck,v.,逃避（責任）,He ducked his responsibility.,他逃避了責任。
elaborate,adj.,複雜的,an elaborate plan,一個複雜的計劃
elaborate,v.,詳細說明,Please elaborate on your idea.,請詳細說明你的想法。
elbow,n.,手肘,He hurt his elbow.,他傷了手肘。
elbow,v.,用肘推擠,He elbowed his way through the crowd.,他用肘推擠穿過人群。
embrace,v.,擁抱,They embraced each other.,他們互相擁抱。
embrace,v.,欣然接受,She embraced the new challenge.,她欣然接受新挑戰。
embrace,v.,包含,The course embraces many topics.,這門課程包含許多主題。
engage,v.,從事於,She engaged in research.,她從事研究工作。
engage,v.,雇用,They engaged a new lawyer.,他們雇用了一位新律師。
engage,v.,吸引,The story engaged my interest.,這個故事引起了我的興趣。
engage,v.,與……交戰,The army engaged the enemy.,軍隊與敵人交戰。
enterprise,n.,企業,a large enterprise,一家大型企業
enterprise,n.,事業心,He showed great enterprise.,他表現出極大的進取心。
enterprise,n.,冒險事業,a risky enterprise,一個冒險的事業
essential,adj.,必要的,Water is essential for life.,水對生命是必要的。
essential,adj.,本質的,The essential difference is clear.,本質上的差異很清楚。
essential,n.,必需品,We packed the essentials.,我們打包了必需品。
even,adj.,平坦的,The floor is even.,地板是平的。
even,adj.,相等的,The score is even.,分數相等。
even,adv.,甚至,He even laughed.,他甚至笑了。
even,v.,使平整,Even the surface with a tool.,用工具把表面弄平。
evident,adj.,明顯的,It is evident that he is happy.,很明顯他很快樂。
evident,adj.,顯然的,for no evident reason,沒有明顯的原因
execute,v.,執行,Execute the plan.,執行這個計劃。
execute,v.,處決,The prisoner was executed.,囚犯被處決了。
execute,v.,製作,He executed a painting.,他畫了一幅畫。
exercise,n.,運動,Exercise is good for health.,運動有益健康。
exercise,n.,練習,Do the grammar exercise.,做文法練習。
exercise,v.,行使,Exercise your rights.,行使你的權利。
explode,v.,爆炸,The bomb exploded.,炸彈爆炸了。
explode,v.,激增,The population exploded.,人口激增。
explode,v.,勃然大怒,He exploded with anger.,他勃然大怒。
exploit,n.,英勇事蹟,His exploits were famous.,他的英勇事蹟很有名。
exploit,v.,剝削,The company exploited workers.,公司剝削工人。
exploit,v.,利用,We should exploit natural resources.,我們應該開發自然資源。
explore,v.,探險,They explored the cave.,他們探索了那個洞穴。
explore,v.,探討,We need to explore all options.,我們需要探討所有選項。
express,adj.,快速的/快遞的,This is an express train to London.,這是前往倫敦的快車。
express,n.,快遞,Send the package by express.,用快遞寄送這個包裹。
express,v.,表達,I find it hard to express my feelings.,我覺得很難表達我的感受。
extend,v.,延伸,The road extends for miles.,這條路延伸數英里。
extend,v.,延長,They extended the deadline.,他們延長了截止日期。
extend,v.,提供,He extended his help.,他提供了幫助。
eye,n.,眼睛,She has blue eyes.,她有藍眼睛。
eye,n.,針眼,the eye of a needle,針眼。
eye,v.,注視,He eyed her suspiciously.,他懷疑地注視著她。
face,n.,臉,She has a pretty face.,她有張漂亮的臉。
face,v.,面對,We face many challenges.,我們面臨許多挑戰。
face,v.,朝（某方向）,The house faces south.,這棟房子朝南。
fair,adj.,公平的,That's not fair!,那不公平！
fair,adj.,白皙的/美麗的,She has fair skin.,她有白皙的皮膚。
fair,adj.,晴朗的,Fair weather is expected.,預計天氣晴朗。
fair,adj.,相當好的,He has a fair chance of winning.,他相當有機會獲勝。
fair,n.,展覽會/市集,We went to a book fair.,我們去了一個書展。
fan,n.,風扇/扇子,Turn on the electric fan.,打開電風扇。
fan,n.,狂熱者/迷,I am a big fan of this singer.,我是這位歌手的超級歌迷。
fan,v.,扇動/激起,She fanned the flames of the fire.,她煽風點火（激起火勢）。
fast,adj.,快的,He is a fast runner.,他是個跑得很快的人。
fast,adj.,穩固的/緊的,He is fast asleep.,他正熟睡著（睡得很穩）。
fast,adv.,快地,Don't drive so fast.,不要開得那麼快。
fast,n.,斷食期,He broke his fast with a light meal.,他用一頓簡餐結束了斷食。
fast,v.,斷食/齋戒,They fasted for religious reasons.,他們因為宗教原因而斷食。
feature,n.,特徵,Her eyes are her best feature.,她的眼睛是她最美的特徵。
feature,v.,以……為特色,The film features a famous actor.,這部電影由一位知名演員主演。
fence,n.,柵欄,The fence surrounds the garden.,柵欄圍繞著花園。
fence,n.,贓物買賣者（俚語）,He is a fence for stolen goods.,他是收贓者。
fence,v.,擊劍,He fences at the club.,他在俱樂部擊劍。
fence,v.,辯論/搪塞,He fenced with the reporters.,他與記者們巧妙周旋。
figure,n.,數字,The figure is 100.,數字是100。
figure,n.,人物,He is a public figure.,他是公眾人物。
figure,n.,身材,She has a slim figure.,她身材苗條。
figure,v.,認為/計算,I figure you're right.,我認為你是對的。
figure,v.,出現,He figures in the story.,他在故事中出現。
file,n.,檔案,Please open the file.,請打開檔案。
file,n.,文件夾,a file of papers,一疊文件
file,n.,銼刀,Use a file to smooth the wood.,用銼刀把木頭磨平。
file,v.,歸檔,File the documents carefully.,把文件仔細歸檔。
file,v.,提出（申請/訴訟）,He filed a complaint.,他提出申訴。
fine,adj.,好的/精細的,The weather is fine.,天氣很好。
fine,adj.,細微的,There's a fine line between love and hate.,愛與恨只有一線之隔。
fine,adj.,細微的/精密的,There's a fine line between love and hate.,愛與恨之間只有一線之隔。
fine,n.,罰款,He paid a parking fine.,他付了停車罰款。
fine,v.,處以罰款,They fined him $100.,他們罰他100美元。
finger,n.,手指,She wore a ring on her finger.,她手指上戴了戒指。
finger,v.,用手指觸摸,He fingered the old photograph.,他用手指撫摸那張老照片。
finger,v.,指認（罪犯）,The victim fingered the suspect.,受害者指認了嫌疑人。
fire,n.,火/火災,There was a major fire in the city.,市中心發生了一場大火。
fire,v.,開火/射擊,The soldiers were ordered to fire.,士兵們接到開火的命令。
fire,v.,解僱/開除,He was fired for being late.,他因為遲到被開除了。
fire,v.,激起/激發 (熱情),The story fired her imagination.,這個故事激發了她的想像力。
firm,adj.,堅定的/堅硬,She has a firm belief in honesty.,她對誠實有堅定的信念。
firm,n.,公司,He works for a law firm.,他在一家律師事務所工作。
fist,n.,拳頭,He clenched his fist.,他握緊拳頭。
fist,v.,用拳頭打（罕用）,He fisted the door in anger.,他生氣地用拳頭砸門。
flat,adj.,平坦的,The countryside is very flat.,鄉間非常平坦。
flat,adj.,(輪胎) 洩氣的,I have a flat tire.,我的輪胎沒氣了。
flat,n.,公寓 (英式),He lives in a small flat.,他住在一間小公寓裡。
fly,adj.,時髦的/酷的（俚語）,He looks fly in that jacket.,他穿那件夾克看起來很潮。
fly,n.,蒼蠅,A fly landed on the table.,一隻蒼蠅停在桌上。
fly,n.,褲子拉鍊區（拉鍊門襟）,Your fly is open.,你的褲子拉鍊沒拉。
fly,v.,飛翔,Birds fly in the sky.,鳥兒在天空中飛翔。
fly,v.,駕駛飛機,He flies a plane.,他駕駛飛機。
fly,v.,快速移動,Time flies when you're having fun.,開心的時候時間過得很快。
foot,n.,腳,My foot is sore.,我的腳痛。
foot,n.,英尺,He is six feet tall.,他身高六英尺。
foot,v.,支付（帳單）,He footed the bill for dinner.,他支付了晚餐帳單。
form,n.,表格/形狀,Please fill out this application form.,請填寫這張申請表。
form,n.,形式/種類,Ice is a form of water.,冰是水的一種形式。
form,v.,形成/組成,A line began to form outside.,外面開始排起長隊（形成隊伍）。
foster,adj.,寄養的,a foster parent,寄養父母
foster,v.,培養,The teacher fosters creativity.,老師培養創造力。
foster,v.,收養,They fostered a child.,他們收養了一個孩子。
found,v.,建立/創辦,The university was founded in 1920.,這所大學創立於 1920 年。
found,v.,興建/使有基礎,His argument is founded on facts.,他的論點是以事實為基礎的。
found,v.,find的過去式/過去分詞,I found my lost keys under the sofa.,我在沙發下找到了失蹤的鑰匙。
found,v.,鑄造（金屬/玻璃）,The gate was made of founded iron.,這道大門是由鑄鐵製成的。
foundation,n.,地基,the foundation of a building,建築物的地基
foundation,n.,基礎,Respect is the foundation of friendship.,尊重是友誼的基礎。
foundation,n.,基金會,She works for a charity foundation.,她為一個慈善基金會工作。
function,n.,功能,The function of the heart is to pump blood.,心臟的功能是泵血。
function,n.,函數,This is a mathematical function.,這是一個數學函數。
function,v.,運作,The machine functions well.,這台機器運作良好。
generate,v.,產生,generate electricity,發電
generate,v.,引起,The news generated excitement.,這則新聞引起了興奮。
genuine,adj.,真誠的,She showed genuine concern.,她表現出真誠的關心。
genuine,adj.,真的,This is a genuine diamond.,這是一顆真鑽石。
go,n.,嘗試 (have a go),Let me have a go at it.,讓我來試試看。
go,v.,去/前往,Where are you going?,你要去哪裡？
go,v.,運行/進展,How's the project going?,專案進展如何？
go,v.,變成 (通常指變壞),The milk has gone sour.,牛奶變酸了。
grace,n.,優雅,She danced with grace.,她跳舞很優雅。
grace,n.,寬限期,The payment has a three-day grace period.,付款有三天的寬限期。
grace,v.,使增添光彩,The queen graced the event with her presence.,女王親臨使活動增光。
