prefix,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
a,"not, without (不，無)",abyss (深淵),amorphous (無定形的),aseptic (無菌的),atypical (非典型的),apathy (冷淡)
ab,"from, away (從，離開)",abnormal (不正常的),absent (缺席的),abstract (抽象的),abuse (濫用),abrupt (突然的)
ac,"to, toward (向)",accelerate (加速),accessible (可接近的),accept (接受),acclaim (歡呼),accommodate (容納)
ad,"to, toward, near (向，近)",adjacent (鄰近的),adapt (適應),advocate (擁護),admit (承認),adverb (副詞)
aer,air (空氣),aerate (通氣),aerial (空中的),aerospace (航空太空),aerobics (有氧運動),aerodynamics (空氣動力學)
agr,farming (農業),agriculture (農業),agribusiness (農業綜合企業),agrarian (土地的),agronomy (農藝學),agrology (農業土壤學)
ambi,both (雙，兩),ambiguous (含糊的),ambivalent (矛盾的),ambidextrous (雙手靈巧的),ambience (氣氛),ambivert (中間性格者)
amphi,"both, around (雙，周圍)",amphibian (兩棲動物),amphitheater (圓形劇場),amphoteric (兩性的),amphora (雙耳瓶),amphiarthrosis (微動關節)
ana,"up, back, again (向上，向後，再次)",analysis (分析),anatomy (解剖),anagram (易位構詞),anachronism (時代錯誤),anabatic (上升的)
ante,before (在...之前),antecedent (前事),antedate (早於),antenna (觸角),anterior (前面的),antechamber (前廳)
anti,against (反對),antibody (抗體),antibiotic (抗生素),antisocial (反社會),antifreeze (防凍劑),antiwar (反戰)
apo,"away, off (離開)",apology (道歉),apostrophe (撇號),apogee (遠地點),apostasy (叛教),apocalypse (啟示)
arch,"chief, most important (首要)",archangel (大天使),architect (建築師),archetype (原型),archbishop (大主教),archenemy (天敵)
at,"to, toward (向)",attend (出席),attract (吸引),attain (獲得),attest (證明),attitude (態度)
auto,self (自我),automobile (汽車),autograph (簽名),automatic (自動),autonomy (自治),autobiography (自傳)
be,"about, become (使，成為)",befriend (交朋友),belittle (輕視),beware (當心),besiege (圍攻),bewitch (使著迷)
bene,good (好),benevolent (仁慈的),benefit (利益),beneficial (有益的),benediction (祝福),beneficiary (受益人)
bi,"two, twice (二，雙)",biannual (一年兩次的),bicycle (腳踏車),bilingual (雙語的),binary (二元的),bisect (平分)
cata,"down, completely (向下，完全)",catastrophe (災難),catalog (目錄),catabolism (分解代謝),catapult (彈射器),cataract (大瀑布)
circ,"ring, circle (圓，環)",circle (圓圈),circuit (電路),circulate (循環),circumstance (情況),circus (馬戲團)
co,"with, together (共同)",coexist (共存),coauthor (合著者),coworker (同事),cooperate (合作),copilot (副駕駛)
com,"together, jointly (一起)",combine (結合),companion (同伴),committee (委員會),community (社區),communicate (溝通)
con,"with, jointly (一起)",concur (同意),connect (連接),confess (承認),congress (會議),confirm (確認)
contra,against (相反),contradict (反駁),contrast (對比),contrary (相反的),contraband (走私),contravene (違反)
counter,opposite (相對),counterclockwise (逆時針),counteract (抵消),counterpart (副本),counterattack (反擊),counterargument (反論)
de,"reduce, away, down (減少，下)",debug (除錯),decrease (減少),descend (下降),depart (離開),deform (變形)
deca,ten (十),decathlon (十項全能),decade (十年),decagon (十角形),decagram (十克),deciliter (分升)
deci,tenth (十分之一),decimal (小數的),deciliter (分升),decibel (分貝),decimate (大批殺死),decimetre (公寸)
demi,half (半),demigod (半神),demitasse (小咖啡杯),demilune (半月形),demirep (名聲不佳者),demi-monde (半上流社會)
di,two (二),divert (轉向),diverse (多樣的),dioxide (二氧化物),dilemma (困境),diploma (文憑)
dia,"through, across (穿過)",diameter (直徑),diagram (圖表),dialogue (對話),diagnosis (診斷),diary (日記)
dis,"not, opposite (不，相反)",discontinue (中斷),disagree (不同意),disappear (消失),dislike (不喜歡),discover (發現)
dys,"bad, abnormal (不良)",dysfunction (功能失調),dyslexia (閱讀障礙),dystrophy (萎縮),dyspepsia (消化不良),dyspnea (呼吸困難)
em,"into, cause (進入，使)",empathy (同理心),empower (授權),embrace (擁抱),embody (體現),embolden (鼓勵)
en,"to cause, provide (使)",enable (使能夠),enrich (使豐富),enlarge (擴大),encourage (鼓勵),enslave (奴役)
endo,internal (內部的),endocrine (內分泌),endoskeleton (內骨骼),endogeny (內生),endoscope (內視鏡),endothermic (吸熱的)
ennea-,nine (九),enneagon (九角形),enneagram (九型人格),ennead (九個一組),enneasyllabic (九音節的),enneastyle (九柱式)
epi,"on, over, among (在...之上)",epidemic (流行病),epicenter (震央),episode (片段),epidermis (表皮),epilogue (結語)
equi,equal (相等),equidistant (等距離),equality (平等),equation (方程式),equivalent (相等的),equilibrium (平衡)
ethno,"race, nation (種族)",ethnography (人種學),ethnic (民族的),ethnology (民族學),ethnocentric (種族中心),ethnography (人種誌)
eu,"good, happy (好)",euphoria (欣快感),eulogy (頌詞),euphemism (委婉語),eugenics (優生學),eurythmic (和諧的)
ex,"out of, away from (向外)",exhale (吐氣),exit (出口),expand (擴張),export (出口),exclude (排除)
exo,outside (外部),exoskeleton (外骨骼),exotic (異國情調),exogenous (外生的),exosphere (外氣層),exocytosis (胞吐作用)
extra,"outside, beyond (額外)",extraordinary (非凡的),extra (額外的),extracurricular (課外的),extraterrestrial (外星的),extravagant (奢侈的)
extro,outward (向外),extrovert (外向者),extroversion (外向性),extrorse (向外的),extropy (增熵),extrospect (向外看)
for,"away, against, not (離開，不)",forbid (禁止),forget (忘記),forgive (原諒),forsake (拋棄),forego (放棄)
fore,"before, in front (之前)",forehead (前額),forecast (預測),foretell (預言),forefather (祖先),foreground (前景)
geo-,earth (地球),geology (地質學),geography (地理),geometry (幾何),geothermal (地熱的),geophysics (地球物理)
giga-,billion (十億倍),gigabyte (GB/十億位元組),gigawatt (十億瓦),gigantic (巨大的),gigahertz (吉赫),gigantism (巨人症)
hecto-,hundred (百),hectogram (百克),hectopascal (百帕),hectometer (百米),hectare (公頃),hectograph (複寫機)
hemi,half (半),hemisphere (半球),hemistich (半節詩),hemiplegia (偏癱),hemicycle (半圓形),hemialgia (偏頭痛)
hepta,seven (七),heptagon (七角形),heptathlon (七項全能),heptameter (七步格),heptarchy (七國時代),heptane (庚烷)
hetero,"different, other (異，不同)",heterogeneous (異質的),heterosexual (異性戀),heterodox (異端),heteronym (同形異義詞),heteromorph (異態)
hexa,six (六),hexagon (六角形),hexagram (六芒星),hexathlon (六項全能),hexapod (六足動物),hexameter (六步格)
homeo,"same, similar (相似，相同)",homeostasis (體內平衡),homeopathy (順勢療法),homeomorph (同形),homeostatic (恆定的),homeomorphy (同形性)
homo,same (相同),homogeneous (同質的),homophone (同音字),homosexual (同性戀),homonym (同名詞),homeostasis (體內平衡)
hyper,"extra, over (過度)",hyperextend (過度伸展),hyperactive (過動的),hyperbole (誇張法),hypertension (高血壓),hypermarket (大賣場)
hypo,"under, below (之下)",hypothermia (體溫過低),hypothesis (假設),hypocrite (偽善者),hypoglycemia (低血糖),hypotension (低血壓)
il,not (不),illegible (難辨認),illegal (違法的),illiterate (文盲的),illogical (不合邏輯),illicit (違禁的)
im,not (不),improper (不當),impatient (不耐煩),impossible (不可能),immature (不成熟),immortal (不朽的)
in,"within, into (進入)",intrude (侵入),include (包括),indoor (室內的),input (輸入),inhale (吸氣)
infra,"below, underneath (在下)",infrastructure (基礎建設),infrared (紅外線),infrasonic (次聲波),infrahuman (低於人類的),infrasound (亞音速)
inter,"among, between (之間)",interfere (干涉),internet (網際網路),international (國際),interact (互動),interview (面試)
intra,inside (內部),intravenous (靜脈內),intramural (校內),intranet (內網),intrastate (州內),intracranial (顱內的)
intro,inwards (向內),introspect (內省),introduce (介紹),introvert (性格內向者),introduction (引言),introject (攝入)
ir,not (不),irresponsible (不負責),irregular (不規則),irrational (不理性),irrelevant (無關的),irreversible (不可逆)
iso,equal (等同),isosceles (等腰的),isolate (隔離),isotope (同位素),isotherm (等溫線),isometric (等距的)
kilo,thousand (千),kilogram (公斤),kilometer (公里),kilowatt (千瓦),kilobyte (千位元組),kilocalorie (千卡)
macro,large (大),macroeconomics (宏觀),macromolecule (大分子),macrophage (巨噬細胞),macroscopic (宏觀的),macrobiotic (長壽的)
mal,bad (壞),maltreat (虐待),malfunction (故障),malnutrition (營養不良),malice (惡意),malformed (畸形的)
mega,large (巨大),megaphone (擴音器),megabyte (百萬位元),megacity (大城市),megastar (巨星),megalith (巨石)
meta,"change, after (改變)",metaphysics (形而上學),metabolism (新陳代謝),metamorphosis (變態),metaphor (隱喻),metadata (元數據)
micro,very small (微小),microscope (顯微鏡),microwave (微波),microbe (微生物),microphone (麥克風),microchip (微晶片)
mid,middle (中間),midnight (午夜),midway (中途),midsummer (仲夏),midfield (中場),midwife (助產士)
milli,thousandth (千分之一),millimeter (公釐),millipede (千足蟲),millisecond (毫秒),milliliter (毫升),milligram (毫克)
mini,small (小),minibus (小巴士),minimize (最小化),minimum (最低限度),miniature (微縮模型),miniskirt (迷你裙)
mis,"wrongly, badly (錯誤)",misbehave (行為不檢),mistake (錯誤),misspell (拼錯),mislead (誤導),mistrust (不信任)
multi,many (多),multicolor (多色),multiply (乘),multimillion (數百萬),multinational (跨國),multimedia (多媒體)
nano,billionth (十億分之一),nanotechnology (奈米技術),nanosecond (奈秒),nanoparticle (奈米顆粒),nanobot (奈米機器人),nanometer (奈米)
neo,new (新),neoclassical (新古典),neonatal (新生兒的),neophyte (初學者),neoclassicism (新古典主義),neolithic (新石器)
non,not (不),nonexistent (不存在),nonstop (不停),nonfiction (非小說),nonsense (胡說),nonviolence (非暴力)
ob,in the way of (阻礙),obscure (模糊的),obstacle (障礙),obstruct (阻塞),object (反對),oblige (被迫)
octa,eight (八),octagon (八角形),octave (八度音),octopus (章魚),octet (八重奏),October (十月)
octo,eight (八),octopus (章魚),octogenarian (八旬老人),octosyllable (八音節詞),octuplet (八胞胎),octonary (八進制的)
omni,all (全),omnipotent (全能的),omnivorous (雜食),omniscient (全知),omnipresent (無所不在),omnibus (選集)
out,"surpassing, away (超越，向外)",outdo (超越),outdoor (戶外),outcome (結果),outline (大綱),output (輸出)
over,"above, too much (過度)",overdo (做得過度),oversleep (睡過頭),overcome (克服),overhead (在頭頂上),overtake (追上)
pan,whole (全，泛),panorama (全景),pandemic (全球流行病),pantheon (萬神殿),pan-American (泛美的),panchromatic (全色的)
para,"alongside, similar (旁)",paramedic (急救人員),parallel (平行),paragraph (段落),parasite (寄生蟲),paradox (悖論)
patri,father (父親),patriarch (家長),patriot (愛國者),patrimony (遺產),patrician (貴族),patriotic (愛國的)
penta,five (五),pentagon (五角形),pentathlon (五項全能),pentagram (五角星),pentoxide (五氧化物),pentameter (五步格)
peri,around (周圍),periscope (潛望鏡),perimeter (周長),period (期間),peripheral (周邊的),perihelion (近日點)
pico-,trillionth (兆分之一),picogram (兆分之一克),picosecond (皮秒),picofarad (皮法),picometer (皮米),picowatt (皮瓦)
poly,many (多),polygamy (多配偶),polygon (多邊形),polymer (聚合物),polytechnic (理工),polytheism (多神教)
post,after (之後),postpone (延期),postwar (戰後),postscript (附言),postgraduate (研究生),postmortem (驗屍)
pre,before (之前),prevent (預防),predict (預測),prepare (準備),preschool (幼兒園),prefix (前綴)
pro,"forward, in favor (贊成)",propose (建議),progress (進步),promote (晉升),produce (生產),pronoun (代名詞)
proto,"earliest, original (原始)",prototype (原型),proton (質子),protocol (協議),protoplasm (原生質),protozoan (原生動物)
pseudo,"wrong, false (假)",pseudoscience (偽科學),pseudonym (筆名),pseudopod (偽足),pseudo-intellectual (偽知識分子),pseudo-event (假事件)
quad,four (四),quadruple (四倍的),quadrant (象限),quadrangle (四邊形),quadruplet (四胞胎),quadratic (二次的)
quadri,four (四),quadrilateral (四邊形的),quadriped (四足動物),quadriceps (四頭肌),quadrennial (四年一次的),quadrille (方陣舞)
quin-,five (五),quintuplet (五胞胎),quintet (五重奏),quintessence (精華),quintuple (五倍的),quintillion (百萬的三次方)
re,"again, back (再次)",retell (重述),return (回來),rebuild (重建),review (複習),reaction (反應)
retro,backward (向後),retroactive (追溯),retrospect (回顧),retrogress (退步),retro (懷舊),retrorocket (減速火箭)
self,of oneself (自我),selfish (自私的),self-control (自律),self-esteem (自尊),self-service (自助),self-taught (自學的)
semi,"half, partial (半)",semicircle (半圓),semifinal (準決賽),semicolon (分號),semiannual (半年一次),semi-conscious (半清醒)
sept-,seven (七),September (九月-原為七月),septuplet (七胞胎),septet (七重奏),septuagenarian (七旬老人),septicemia (敗血症-字根異義)
sext-,six (六),sextuplet (六胞胎),sextet (六重奏),sextant (六分儀),sextuple (六倍的),Sexton (教堂執事)
step,remarriage (繼),stepmother (繼母),stepfather (繼父),stepchild (繼子女),stepson (繼子),stepsister (繼姐妹)
sub,"under, lower (下)",submarine (潛水艇),subway (地鐵),subject (學科),substitute (代替),suburb (郊區)
super,"more than, above (超)",supermarket (超市),superior (優越的),supervise (監督),superstar (巨星),supernatural (超自然)
sur,"over, above (在…之上)",surface (表面),surplus (剩餘),surreal (超現實的),surcharge (額外費用),survive (生存)
sym,"together, same (共同，相同)",symbol (符號),sympathy (同情),symbiotic (共生的),symptom (症狀),symposium (研討會)
syn,"together, same (共同，相同)",symmetry (對稱),symphony (交響樂),synchronize (同步),synonym (同義詞),synthesis (綜合)
tera-,trillion (兆倍/10¹²),terabyte (TB/兆位元組),terawatt (兆瓦),terahertz (兆赫),teratogen (致畸物),teratoid (怪異的)
trans,"across, beyond (跨越)",transportation (運輸),translate (翻譯),transform (轉變),transit (過境),transparent (透明的)
tri,three (三),tricycle (三輪車),triangle (三角形),trilogy (三部曲),triple (三倍的),triathlon (三項鐵人)
ultra,"beyond, extreme (極端)",ultraconservative (極守舊),ultraviolet (紫外線),ultrasonic (超音波),ultramodern (極現代),ultralight (超輕)
un,"not, reverse (不)",uninspired (無靈感的),unhappy (不快樂),unusual (不尋常),unable (不能),unlock (開鎖)
under,"beneath, below (下)",undercook (煮不熟),underground (地下),understand (理解),underwear (內衣),underline (畫底線)
uni,one (一),unicycle (獨輪車),unit (單位),uniform (制服),union (工會),unique (獨特的)
up,higher position (向上),uplift (提升),update (更新),upgrade (升級),uphill (上坡),upset (生氣)
vice,in place of (副),vice-president (副總統),vice-chancellor (副校長),vice-admiral (海軍中將),vice-chairman (副主席),viceroy (總督)
well-,"good, properly (好，正確)",welcome (歡迎),welfare (福利),well-known (著名的),well-being (安康),well-done (做得好)
with,"from, against (對抗，離)",withhold (保留),withdraw (撤退),withstand (經受),within (在...之內),without (沒有)
